date,temperature,humidity
01.01.2020-22:20:32,23.13,70.23
02.01.2020-18:30:20,20.98,65.21
02.01.2020-23:23:12,18.00,56.23
04.01.2020-18:20:50,10.70,45.56
05.01.2020-19:20:40,20.43,56.53
29.07.2020-07:49:55,15.34,61.11
29.07.2020-07:53:59,12.05,71.68
29.07.2020-07:54:04,19.8,87.12
29.07.2020-07:54:09,26.17,53.86
29.07.2020-07:54:14,23.14,66.27
29.07.2020-07:54:19,27.56,6.11
29.07.2020-07:54:24,25.43,23.83
29.07.2020-07:54:29,19.65,50.38
29.07.2020-07:54:34,17.34,63.78
29.07.2020-07:54:39,7.47,19.81
29.07.2020-07:54:44,15.3,45.49
29.07.2020-07:54:49,24.94,5.8
29.07.2020-07:54:54,18.68,54.69
29.07.2020-07:54:59,15.05,23.25
29.07.2020-07:55:04,17.33,72.55
29.07.2020-07:55:09,14.16,64.87
29.07.2020-07:55:14,30.03,41.09
29.07.2020-07:55:19,14.96,21.76
29.07.2020-07:55:24,18.2,52.92
29.07.2020-07:55:29,22.82,84.89
29.07.2020-07:55:34,24.18,18.66
29.07.2020-07:55:39,17.61,28.5
29.07.2020-07:55:44,22.98,43.27
29.07.2020-07:55:49,19.92,44.9
29.07.2020-07:55:54,14.42,12.11
29.07.2020-07:55:59,20.36,80.06
29.07.2020-07:56:04,24.92,45.05
29.07.2020-07:56:09,16.67,44.75
29.07.2020-07:56:14,24.11,40.47
29.07.2020-07:56:19,13.22,43.51
29.07.2020-07:56:24,23.08,28.38
29.07.2020-07:56:29,24.1,65.14
29.07.2020-07:56:34,27.1,43.78
29.07.2020-07:56:39,25.93,53.43
29.07.2020-07:56:44,12.94,74.18
29.07.2020-07:56:49,18.83,64.1
29.07.2020-07:56:54,23.94,131.48
29.07.2020-07:56:59,20.31,62.46
29.07.2020-07:57:04,25.72,83.04
29.07.2020-07:57:09,26.29,59.74
29.07.2020-07:57:14,14.48,21.51
29.07.2020-07:57:19,16.96,61.83
29.07.2020-07:57:24,21.42,61.27
29.07.2020-07:57:29,15.78,81.55
29.07.2020-07:57:34,23.1,56.35
